datetime,open,high,low,close,volume
2025-08-01 02:00:00,150.904,150.911,150.705,150.763,5264
2025-08-01 03:00:00,150.765,150.779,150.554,150.588,4469
2025-08-01 04:00:00,150.582,150.661,150.553,150.607,3448
2025-08-01 05:00:00,150.611,150.654,150.409,150.474,4565
2025-08-01 06:00:00,150.479,150.648,150.449,150.605,6065
2025-08-01 07:00:00,150.598,150.622,150.455,150.535,7185
2025-08-01 08:00:00,150.534,150.627,150.509,150.609,6172
2025-08-01 09:00:00,150.603,150.626,150.417,150.51,5636
2025-08-01 10:00:00,150.502,150.513,150.322,150.359,5819
2025-08-01 11:00:00,150.364,150.525,150.281,150.516,5863
2025-08-01 12:00:00,150.513,150.596,148.565,148.633,13490
2025-08-01 13:00:00,148.621,148.662,147.99,148.144,17121
2025-08-01 14:00:00,148.14,148.227,147.484,148.089,17393
2025-08-01 15:00:00,148.098,148.186,147.929,148.054,11650
2025-08-01 16:00:00,148.056,148.107,147.778,147.824,7967
2025-08-01 17:00:00,147.823,147.95,147.727,147.88,8266
2025-08-01 18:00:00,147.877,147.903,147.681,147.849,6869
2025-08-01 19:00:00,147.839,147.861,147.325,147.443,8343
2025-08-01 20:00:00,147.438,147.444,147.318,147.319,2186
2025-08-03 21:00:00,147.218,147.24,147.176,147.182,668
2025-08-03 22:00:00,147.191,147.299,147.057,147.245,4114
2025-08-03 23:00:00,147.243,147.383,147.114,147.345,4689
2025-08-04 00:00:00,147.346,147.694,147.267,147.65,9586
2025-08-04 01:00:00,147.654,147.91,147.618,147.765,8333
2025-08-04 02:00:00,147.764,147.866,147.626,147.794,6028
2025-08-04 03:00:00,147.795,147.795,147.584,147.695,4987
2025-08-04 04:00:00,147.694,147.71,147.555,147.686,5227
2025-08-04 05:00:00,147.685,147.87,147.654,147.78,6173
2025-08-04 06:00:00,147.775,147.847,147.533,147.648,8046
2025-08-04 07:00:00,147.651,148.047,147.594,147.88,9131
2025-08-04 08:00:00,147.879,148.088,147.864,147.895,8562
2025-08-04 09:00:00,147.887,147.946,147.676,147.816,6942
2025-08-04 10:00:00,147.813,147.852,147.563,147.575,6707
2025-08-04 11:00:00,147.57,147.6,147.342,147.345,7821
2025-08-04 12:00:00,147.343,147.44,147.008,147.193,8254
2025-08-04 13:00:00,147.194,147.316,146.953,147.09,10138
2025-08-04 14:00:00,147.089,147.263,146.863,147.232,11263
2025-08-04 15:00:00,147.231,147.354,147.044,147.101,8407
2025-08-04 16:00:00,147.094,147.218,147.004,147.04,6608
2025-08-04 17:00:00,147.038,147.096,146.959,146.968,5478
2025-08-04 18:00:00,146.964,147.008,146.911,146.947,5823
2025-08-04 19:00:00,146.948,147.06,146.91,147.027,4881
2025-08-04 20:00:00,147.026,147.088,146.954,146.976,1996
2025-08-04 21:00:00,147.077,147.093,147.011,147.04,728
2025-08-04 22:00:00,147.062,147.071,146.882,146.912,2191
2025-08-04 23:00:00,146.909,146.934,146.697,146.793,3263
2025-08-05 00:00:00,146.772,147.036,146.617,146.924,7020
2025-08-05 01:00:00,146.934,147.114,146.881,147.058,6019
2025-08-05 02:00:00,147.059,147.234,147.04,147.185,4613
2025-08-05 03:00:00,147.188,147.262,147.135,147.215,3580
2025-08-05 04:00:00,147.216,147.263,147.006,147.081,3629
2025-08-05 05:00:00,147.085,147.24,147.056,147.173,4963
2025-08-05 06:00:00,147.173,147.344,147.031,147.328,6364
2025-08-05 07:00:00,147.33,147.483,147.157,147.388,7733
2025-08-05 08:00:00,147.389,147.634,147.336,147.58,7446
2025-08-05 09:00:00,147.58,147.64,147.45,147.629,6126
2025-08-05 10:00:00,147.63,147.778,147.583,147.622,5303
2025-08-05 11:00:00,147.625,147.697,147.548,147.632,5226
2025-08-05 12:00:00,147.629,147.754,147.54,147.666,8445
2025-08-05 13:00:00,147.664,147.835,147.505,147.696,8596
2025-08-05 14:00:00,147.702,147.736,147.355,147.451,13116
2025-08-05 15:00:00,147.448,147.573,147.306,147.495,9543
2025-08-05 16:00:00,147.492,147.593,147.429,147.548,6248
2025-08-05 17:00:00,147.547,147.65,147.487,147.62,5348
2025-08-05 18:00:00,147.622,147.684,147.592,147.605,5706
2025-08-05 19:00:00,147.603,147.702,147.582,147.607,4099
